hash,size,permissions,version_code,version_name,target_sdk_version,min_sdk_version
2589f14a1fa991baa7b6c6ece92038fb,6316687,android.permission.POST_NOTIFICATIONS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.FOREGROUND_SERVICE;android.permission.WAKE_LOCK;m.co.rh.id.a_medic_log.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,22,1.3.0,33,21
f938665c8d108f36a50a4db57376f876,14082352,com.xinto.mauth.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.CAMERA;android.permission.USE_FINGERPRINT;android.permission.USE_BIOMETRIC,70,0.7.0,33,21
d2c7d33eb9f1eea31e25cc43b1f43b05,6130122,android.permission.WRITE_EXTERNAL_STORAGE;android.permission.POST_NOTIFICATIONS;android.permission.ACCESS_MEDIA_LOCATION;android.permission.VIBRATE;android.permission.READ_EXTERNAL_STORAGE;android.permission.ACCESS_WIFI_STATE;android.permission.DOWNLOAD_WITHOUT_NOTIFICATION;com.fmsys.snapdrop.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.INTERNET;android.permission.ACCESS_NETWORK_STATE,43,2.2.4,33,21
a13a233b1378b98d2072af5a9ec368bf,6523571,android.permission.GET_ACCOUNTS;android.permission.POST_NOTIFICATIONS;android.permission.AUTHENTICATE_ACCOUNTS;com.polar.nextcloudservices.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.FOREGROUND_SERVICE;android.permission.INTERNET;android.permission.ACCESS_NETWORK_STATE,18,1.1-beta18,34,25
49e84028c784d1ecb6752b775daf213d,12568892,android.permission.WRITE_EXTERNAL_STORAGE;android.permission.BLUETOOTH;android.permission.READ_MEDIA_IMAGES;android.permission.BLUETOOTH_CONNECT;android.permission.READ_EXTERNAL_STORAGE;org.tuxpaint.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,9322,0.9.32-2,33,21
c64eb2477dfff5c16a7aa80c966b56f5,271788,android.permission.INTERNET;android.permission.WRITE_EXTERNAL_STORAGE,44,2.6,33,21
d128e5e5cde4b6fd3fd5f2a641670b0d,3063144,,2,1.1,31,16
28a4e7ad897665f116fac4e26f797ab2,169260,android.permission.VIBRATE,18,2.0.4,32,15
f3aec0b893e721ef5fca35c83af64f90,6158805,de.tadris.flang.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.INTERNET,9,1.8,33,22
1270c4049c55603ed91742ff5c4f7ea2,18896267,com.maxrave.simpmusic.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.READ_MEDIA_AUDIO;android.permission.POST_NOTIFICATIONS;android.permission.FOREGROUND_SERVICE_DATA_SYNC;android.permission.READ_MEDIA_IMAGES;android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.READ_EXTERNAL_STORAGE;android.permission.FOREGROUND_SERVICE;android.permission.WAKE_LOCK;android.permission.INTERNET;android.permission.ACCESS_NETWORK_STATE,16,0.2.0,34,26
802bb7c1833304a670e98b70fbe0aa3f,14034292,android.permission.REQUEST_INSTALL_PACKAGES;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.FOREGROUND_SERVICE;android.permission.INTERNET;android.permission.ACCESS_NETWORK_STATE,47,2.987,28,14
9816294f4efd6b9dc680e372cd9ffd79,5146871,com.fredhappyface.fhcode.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,20230828,20230828,34,26
845e357d59c100924c75a49c59497150,19229367,se.arctosoft.vault.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,23,1.7.0,34,28
