hash,obfuscated,time
afdcac01dab7d7a4876292b8993cd769,True,17.72
ce0329a56c16b5f04b1e79f19a52bf22,True,45.64
3552341490d0b8cdd2a862d0e6e81229,True,14.13
99f2d8765c3751a2b3cee9a4d32509cf,True,22.54
2b6d0d66490581401e694a0e92182176,True,10.20
8a65dfa57e44e15eaa3985d12a999bd7,True,16.58
83f22ced93fbe549e25de226708557ee,True,26.89
e4d0f1ab351842235b03f6b2e799f39d,True,50.46
b667c4f9c57adc34a4026955ad0ee495,True,18.30
0a40d708b9715c5748433ca780faaf19,True,17.33
4f83bf6b3357c79e2308756c70392122,True,18.10
3ceff9a740218cc9684ff741fb2942e5,True,26.50
748e295d02de4adf49268e1b014226d6,True,17.15
a553355f19887e56d8ed7e352093582e,True,21.90
5a893cf321d64340c89a76b444689823,True,24.92
0d5d77bffdedd30a9edaae0b543993da,True,24.76
9ed5ff601b209908d2e154a2786c83e4,True,20.12
55957b9a14574456e25ee810ad3faf22,True,24.36
d976e6620c3e87e5a6bd46f0180127a3,True,21.86
be1c3969902b6af4558a73d93c22a97b,True,7.83
b48eebdc6a3ec76bbc78800548e0e0c2,True,16.82
ed751b9b0ec43e58f1d19730558fad9d,True,9.08
9db2c3346918a890664ad2cc0b1a6e22,True,19.01
f938665c8d108f36a50a4db57376f876,True,47.75
eb6b47315a4cab4c6dbdaa315020b354,True,24.67
2577909b9f1f6a8d0f2c3bd168d9f42b,True,18.01
89723e48b83a8790a78dda21c43a8e4c,True,56.61
e5f8aed97b490b2ef05fb5c7156847a4,True,10.91
d6cce26c0b4c2e23a496302e0ed627b2,True,23.10
29aaff2513723fb5ff04f35f3e575c5d,True,22.56
bd90c7ad4e8edaa723b0ecb9d01ddb82,True,31.48
6f747df3e894b808e4386ec4a95cdf71,True,19.36
7f2688d599e1ee60215fcca019d7fba9,True,9.34
9de16a387fe48c2699f96d93fc4f16e0,True,25.92
8551650cf3a07a2c1a7bf21aea66edb7,True,26.37
daaefd795b7591bc0b6e3e51335eaffb,True,21.32
464873d42c0219e676cc89e726288116,True,18.07
78c9ab081cb746c9228ed5a5e243cac9,True,4.14
fdbe4a8c5261d6de273a3851342c1c17,True,16.33
35a717fe38c4f69ebbde2ce6e4a90668,True,50.29
9b76012130941f4596a32d56a161e343,True,18.30
4554f17b266891164ff8a730cb693a9d,True,9.59
89a2c03ca56ebe779288f9bd059d48cd,True,19.37
d779dabf5d1ee3c1608ec211d5b014c3,True,38.03
20bd6dbb699c5e3516349f3ebb2fd395,True,19.50
b1b563c2f5f19d3e7eaeaf206f78460f,True,30.08
36524dfbd6fefe0e05262cb0d269e17e,True,18.24
082624941037db316f4af809ccf8dfde,True,38.80
0e4d30361aeae9128b734019182502be,True,62.21
4f2e47782b974bc94964065bb506b63a,True,23.81
7202e83f26754fa4e1e2c286b2d2f741,True,16.46
b2126a022789aa8a4075c1ee5e8e64ff,True,23.59
bd6406a388ff61212a69d38a99162073,True,20.31
04c26142d4c2fa89f0056350d06f4ca5,True,61.93
ac01bb5ffef24e6adc047183dfcb381e,True,14.53
f2b2bd33ecdc8f18a4942b1fb8125dc9,True,59.52
f6851781740f2cebd3029a8b11836143,True,17.26
17a80f89b7a7a5a370da0f0259971f2a,True,7.43
8f46e31d2bf5ae540fefe33aee9a3a5d,True,34.71
a184273cee0d0038ad3259fb0da47fa4,True,17.00
ffd1e08b4540af97c1f70021e362e340,True,19.13
85364cc264facdf78fdc801db9ccc7b6,True,24.29
c6c84e3f34eb40a1882b7354960fda5e,True,18.38
0651fca49f8d339858a9f7a3fd21180c,True,15.05
0a40d708b9715c5748433ca780faaf19,True,17.30
27b56bc5ba169b293b22e007f2eb02f5,True,20.74
6e655798e23933a50ef84815b3f28d77,True,44.72
0f51f0c6ff8898c85eceba2ab1770f6f,True,12.66
311b83794c7cbd01e10571e663629d63,True,40.92
802bb7c1833304a670e98b70fbe0aa3f,True,37.66
28a4e7ad897665f116fac4e26f797ab2,True,3.38
f505bf558b427cc8d8a186990b6e2f57,True,17.05
b53788e56e464e3b7bc2ceea4ed7dd95,True,59.65
bab863b1edbcd3e8cd976f623290d731,True,15.95
f99c5b66e5e42d7ca8fc91294d6b4697,True,14.80
61fc0f6ac109527378b6435ef781bc02,True,23.69
8db861859381af1b5700ccbd8d65cd1b,True,25.45
781c9aab6b261c604ccbc4a66b843abc,True,20.45
ca608f36a5fb9e2db2c616afc3ab27a7,True,17.33
9d1928e30963530d9b82127ed4fa146d,True,18.47
04d74498996e7c67b2e769e879aad35d,True,3.75
e080b3e9f163bc59c264e1f05c96e624,True,27.27
7e485eeeb209c30265dd1d6ca9c6bdd4,True,26.56
b4f9232e8202a2f0c0fe8bb92c02e185,True,14.75
b29d99c115a53c5646b5e564ccc2ef32,True,26.99
f6f3c5e8cb431f812a656b7a7779b933,True,19.48
344a5be817ec6d844ee0169e42973097,True,51.37
0bc83f2ac4bcc3f74f716a4ee438cf03,True,26.43
c5f04531b23ffe8871ec63c536f0a83b,True,17.50
10941ec77223ee752d6bb6d99cb5f42d,True,18.76
e00d2877d1cb7b3213039013ef2bf5d9,True,27.53
5551c0f3a713244ac667d58fd784826b,True,61.01
a0e9fecf22473473cd58bcfa622f5884,True,21.82
37ec92f323032acb801854e6cdaa905d,True,20.90
9f2b78ad9b2a92741a9adc133adece3f,True,17.51
9d813ae0f61398ec91275709745211a2,True,17.60
cc33504d3756af7506c8bdca4f177e8d,True,15.42
07178ac175c942d03c3c6497cf23ed37,True,16.67
c752e682a365dbdac29579e50768cca4,True,54.91
dca62af3c7ed5c57c6328b5549ee8ca6,True,8.81
e1845796816f366b28a73ca6996e9d6d,True,21.36
0d2f6d13d2576abdfd2866f6324748ba,True,21.24
6bb0ef209ffcd9a32b8e832d9469d873,True,46.51
5e71c0601f6bed14a3db18a59bf4cd83,True,49.32
e2d8e605ed724e3f347b70d12473ea83,True,6.17
3a3f7fcec0ce9c11acc67a57c6a4f292,True,41.25
0028e857f1c1864d5d9b713fb27ad9ca,True,10.19
ec316ff500f4727b87ee8977e19c733b,True,11.96
a274f755c65585446429f598b6fff5e8,True,28.43
c105f9694ae1926c5e525f7b3277abe0,True,13.00
